disease_name,source_pathogen,network_pathogen,host,host_tax_id,host_role_assignment,assignment_status,assignment_confidence,evidence_record_ids,assignment_basis,needs_manual_review,review_notes
Chikungunya fever,Alphavirus chikungunya,Alphavirus chikungunya,Papio papio,100937,amplifying_host,draft_source_backed,medium,host_role_evidence:source_check:manual_chikungunya_althouse2018_papio_papio,Direct species-level support for Guinea baboons as sylvatic amplification hosts with non-reservoir caveat.,TRUE,"source_check_candidate_id=manual_chikungunya_althouse2018_papio_papio; caveat=Senegal/Kedougou sylvatic-cycle context; source does not establish continuous maintenance or reservoir status.; decision_reason=Direct species-level support for Guinea baboons as sylvatic amplification hosts with non-reservoir caveat.; source_access=local_pdf_text; file_name=althouse2018_chikungunya_senegal_monkeys.pdf; source_check_method=local_pdf_text; checked_evidence_location=althouse2018_chikungunya_senegal_monkeys.txt lines 69-70, 151-153, 199-208, 490"
Hendra,Henipavirus hendraense,Henipavirus hendraense,Pteropus alecto,9402,reservoir_host,draft_source_backed,high,host_role_evidence:source_check:manual_hendra_pteropus_alecto,Direct species-level reservoir and natural-infection support.,FALSE,"source_check_candidate_id=manual_hendra_pteropus_alecto; caveat=Australian black flying fox; strongest species-level reservoir support.; source_access=official_web/full_text; source_check_method=bounded_web; checked_evidence_location=CDC lines 78-102; Scientific Reports lines 82-86 and 210; EID abstract/search snippet"
Hendra,Henipavirus hendraense,Henipavirus hendraense,Pteropus conspicillatus,328804,reservoir_host,draft_source_backed,medium,host_role_evidence:source_check:manual_hendra_pteropus_conspicillatus,Review-supported species-level reservoir/shedding support.,TRUE,"source_check_candidate_id=manual_hendra_pteropus_conspicillatus; caveat=spectacled flying fox reservoir support is strong but review-derived here.; source_access=full_text/pdf; source_check_method=bounded_web; checked_evidence_location=Scientific Reports lines 82-86 and 210; CFSPH lines 38-45"
Hendra,Henipavirus hendraense,Henipavirus hendraense,Pteropus poliocephalus,9403,reservoir_host,draft_source_backed,medium,host_role_evidence:source_check:manual_hendra_pteropus_poliocephalus,HeV-g2 urine excretion and likely competent reservoir support.,TRUE,"source_check_candidate_id=manual_hendra_pteropus_poliocephalus; caveat=HeV-g2 urine excretion / likely competent reservoir support; not primary HeV-g1 reservoir.; source_access=web/full_text; source_check_method=bounded_web; checked_evidence_location=Emerging Infectious Diseases article lines 88-96, 104-114, 118, 163-165"
Hendra,Henipavirus hendraense,Henipavirus hendraense,Pteropus scapulatus,94117,incidental_host,draft_source_backed,medium,host_role_evidence:source_check:manual_hendra_pteropus_scapulatus,Caveated Australian flying-fox incidental/susceptible-host support.,TRUE,"source_check_candidate_id=manual_hendra_pteropus_scapulatus; caveat=Australian little red flying fox; keep out of primary-reservoir bucket unless policy changes.; source_access=full_text/pdf; source_check_method=bounded_web; checked_evidence_location=Scientific Reports lines 82-86 and 210; CFSPH lines 38-45"
Hendra,Henipavirus hendraense,Henipavirus hendraense,Equus caballus,9796,amplifying_host,draft_source_backed,high,host_role_evidence:source_check:manual_hendra_equus_caballus,Horse spillover/amplifying exposure-layer support.,FALSE,"source_check_candidate_id=manual_hendra_equus_caballus; caveat=horse role is spillover/amplifying exposure layer rather than reservoir.; source_access=official_web; source_check_method=bounded_web; checked_evidence_location=CDC lines 69-79 and 97-105; Queensland Health lines 127-129"
Hendra,Henipavirus hendraense,Henipavirus hendraense,Homo sapiens,9606,dead_end_incidental_host,draft_source_backed,high,host_role_evidence:source_check:manual_hendra_homo_sapiens,Human terminal/incidental spillover support with no documented person-to-person transmission.,FALSE,"source_check_candidate_id=manual_hendra_homo_sapiens; caveat=human role is terminal/incidental spillover, not reservoir or amplifier.; source_access=official_web/pdf; source_check_method=bounded_web; checked_evidence_location=CDC lines 97-105; CFSPH lines 52-60"
Hantavirus pulmonary syndrome,Orthohantavirus sinnombreense,Sinnombre virus,Homo sapiens,9606,dead_end_incidental_host,draft_source_backed,high,host_role_evidence:source_check:manual_hps_homo_sapiens,Official datasheet directly describes humans as dead-end hosts for SNV.,FALSE,"source_check_candidate_id=manual_hps_homo_sapiens; caveat=terminal incidental human disease role; Andes virus person-to-person exception not applied to Sin Nombre analysis unit."
Hantavirus pulmonary syndrome,Orthohantavirus sinnombreense,Sinnombre virus,Peromyscus maniculatus,10042,reservoir_host,draft_source_backed,high,host_role_evidence:source_check:manual_hps_peromyscus_maniculatus,Official guidance identifies deer mouse as the main reservoir for SNV or the most common US HPS hantavirus.,FALSE,"source_check_candidate_id=manual_hps_peromyscus_maniculatus; caveat=older deer mouse taxonomy overlaps current P. sonoriensis row but keeps the available P. maniculatus SDM usable."
Hantavirus pulmonary syndrome,Orthohantavirus sinnombreense,Sinnombre virus,Peromyscus sonoriensis,2746888,reservoir_host,draft_source_backed,high,host_role_evidence:source_check:manual_hps_peromyscus_sonoriensis,Current taxonomy source identifies western deer mouse formerly P. maniculatus as primary SNV reservoir.,TRUE,"source_check_candidate_id=manual_hps_peromyscus_sonoriensis; caveat=taxonomy duplicate with older P. maniculatus row and no current SDM in tiered surface."
Hantavirus pulmonary syndrome,Orthohantavirus sinnombreense,Sinnombre virus,Peromyscus leucopus,10041,reservoir_host,draft_source_backed,medium,host_role_evidence:source_check:manual_hps_peromyscus_leucopus,Primary study supports live SNV carriage or shedding in this alternate reservoir species.,TRUE,"source_check_candidate_id=manual_hps_peromyscus_leucopus; caveat=alternate reservoir evidence from New Mexico with human-pathogenicity caveat for non-P. sonoriensis isolates."
Hantavirus pulmonary syndrome,Orthohantavirus sinnombreense,Sinnombre virus,Peromyscus boylii,56316,reservoir_host,draft_source_backed,medium,host_role_evidence:source_check:manual_hps_peromyscus_boylii,Primary study supports live SNV carriage or shedding in this alternate reservoir species.,TRUE,"source_check_candidate_id=manual_hps_peromyscus_boylii; caveat=alternate reservoir evidence from New Mexico with human-pathogenicity caveat for non-P. sonoriensis isolates."
Hantavirus pulmonary syndrome,Orthohantavirus sinnombreense,Sinnombre virus,Peromyscus truei,89101,reservoir_host,draft_source_backed,medium,host_role_evidence:source_check:manual_hps_peromyscus_truei,Primary study supports live SNV carriage or shedding in this alternate reservoir species.,TRUE,"source_check_candidate_id=manual_hps_peromyscus_truei; caveat=alternate reservoir evidence from New Mexico with human-pathogenicity caveat for non-P. sonoriensis isolates."
Hantavirus pulmonary syndrome,Orthohantavirus sinnombreense,Sinnombre virus,Peromyscus eremicus,42410,reservoir_host,draft_source_backed,medium,host_role_evidence:source_check:manual_hps_peromyscus_eremicus,Primary study supports a possible focal SNV reservoir role in cactus mice.,TRUE,"source_check_candidate_id=manual_hps_peromyscus_eremicus; caveat=possible focal reservoir in a specific Death Valley setting."
Hantavirus pulmonary syndrome,Orthohantavirus sinnombreense,Sinnombre virus,Mus musculus,10090,reservoir_host,draft_source_backed,medium,host_role_evidence:source_check:manual_hps_mus_musculus,Primary study and official datasheet support alternate SNV reservoir evidence for house mouse.,TRUE,"source_check_candidate_id=manual_hps_mus_musculus; caveat=alternate reservoir evidence and official host list but not primary deer mouse reservoir."
Hantavirus pulmonary syndrome,Orthohantavirus sinnombreense,Sinnombre virus,Tamias minimus,45468,reservoir_host,draft_source_backed,medium,host_role_evidence:source_check:manual_hps_tamias_minimus,Official datasheet and primary study support least chipmunk SNV reservoir or shedding evidence.,TRUE,"source_check_candidate_id=manual_hps_tamias_minimus; caveat=least chipmunk taxonomy appears as Neotamias in recent source and Tamias in roster."
Hantavirus pulmonary syndrome,Orthohantavirus sinnombreense,Sinnombre virus,Sigmodon hispidus,42415,reservoir_host,draft_source_backed,medium,host_role_evidence:source_check:manual_hps_sigmodon_hispidus,Primary study supports live SNV carriage or shedding in this alternate reservoir species.,TRUE,"source_check_candidate_id=manual_hps_sigmodon_hispidus; caveat=alternate reservoir evidence from New Mexico and separate cotton-rat hantavirus ecology should not be collapsed with all HPS viruses."
Hepatitis E,Paslahepevirus balayani genotype 3,Paslahepevirus balayani genotype 3,Sus scrofa,9823,reservoir_host,draft_source_backed,high,host_role_evidence:source_check:manual_hev_sus_scrofa_9823,Direct species-level Sus scrofa reservoir and zoonotic foodborne source support.,FALSE,"source_check_candidate_id=manual_hev_sus_scrofa_9823; caveat=species-level Sus scrofa row covers pig and wild boar common names in source; not a broad Suidae proxy."
Hepatitis E,Paslahepevirus balayani genotype 3,Paslahepevirus balayani genotype 3,Sus scrofa,9825,reservoir_host,draft_source_backed,high,host_role_evidence:source_check:manual_hev_sus_scrofa_9825,Direct domestic pig reservoir and zoonotic foodborne source support.,FALSE,"source_check_candidate_id=manual_hev_sus_scrofa_9825; caveat=domestic pig subspecies row is canonicalised as Sus scrofa in roster."
Hepatitis E,Paslahepevirus balayani genotype 3,Paslahepevirus balayani genotype 3,Sus scrofa,375578,reservoir_host,draft_source_backed,medium,host_role_evidence:source_check:manual_hev_sus_scrofa_375578,General wild-boar reservoir support mapped to local Sus scrofa subspecies duplicate.,TRUE,"source_check_candidate_id=manual_hev_sus_scrofa_375578; caveat=wild-boar subspecies duplicate mapped from general Sus scrofa source support."
Hepatitis E,Paslahepevirus balayani genotype 3,Paslahepevirus balayani genotype 3,Sus scrofa,1611880,reservoir_host,draft_source_backed,medium,host_role_evidence:source_check:manual_hev_sus_scrofa_1611880,General wild-boar reservoir support mapped to local Sus scrofa subspecies duplicate.,TRUE,"source_check_candidate_id=manual_hev_sus_scrofa_1611880; caveat=wild-boar subspecies duplicate mapped from general Sus scrofa source support."
Hepatitis E,Paslahepevirus balayani genotype 3,Paslahepevirus balayani genotype 3,Cervus nippon,9863,spillover_host,draft_source_backed,medium,host_role_evidence:source_check:manual_hev_cervus_nippon_9863,Direct sika deer foodborne source evidence with explicit non-reservoir caveat.,TRUE,"source_check_candidate_id=manual_hev_cervus_nippon_9863; caveat=sika deer foodborne source evidence not reservoir evidence."
Hepatitis E,Paslahepevirus balayani genotype 3,Paslahepevirus balayani genotype 3,Cervus nippon,92867,spillover_host,draft_source_backed,medium,host_role_evidence:source_check:manual_hev_cervus_nippon_92867,Species-level sika deer foodborne source evidence mapped to local subspecies duplicate.,TRUE,"source_check_candidate_id=manual_hev_cervus_nippon_92867; caveat=sika deer subspecies row mapped from species-level foodborne source evidence and kept non-reservoir."
Hepatitis E,Paslahepevirus balayani genotype 3,Paslahepevirus balayani genotype 3,Cervus nippon,223998,spillover_host,draft_source_backed,medium,host_role_evidence:source_check:manual_hev_cervus_nippon_223998,Species-level sika deer foodborne source evidence mapped to local subspecies duplicate.,TRUE,"source_check_candidate_id=manual_hev_cervus_nippon_223998; caveat=sika deer subspecies row mapped from species-level foodborne source evidence and kept non-reservoir."
Hepatitis E,Paslahepevirus balayani genotype 3,Paslahepevirus balayani genotype 3,Capreolus capreolus,9858,susceptible_host_only,draft_source_backed,medium,host_role_evidence:source_check:manual_hev_capreolus_capreolus,Roe deer HEV genotype 3 detection and foodborne-risk evidence without reservoir support.,TRUE,"source_check_candidate_id=manual_hev_capreolus_capreolus; caveat=roe deer detection and spillover-risk evidence only; do not treat as main reservoir."
Hepatitis E,Paslahepevirus balayani genotype 3,Paslahepevirus balayani genotype 3,Cervus elaphus,9860,susceptible_host_only,draft_source_backed,medium,host_role_evidence:source_check:manual_hev_cervus_elaphus,Red deer HEV genotype 3 detection and foodborne-risk evidence without reservoir support.,TRUE,"source_check_candidate_id=manual_hev_cervus_elaphus; caveat=red deer detection and spillover-risk evidence only; do not treat as main reservoir."
Hepatitis E,Paslahepevirus balayani genotype 3,Paslahepevirus balayani genotype 3,Oryctolagus cuniculus,9986,reservoir_host,draft_source_backed,medium,host_role_evidence:source_check:manual_hev_oryctolagus_cuniculus,Direct rabbit HEV 3ra reservoir support kept review-needed for subtype and regional caveats.,TRUE,"source_check_candidate_id=manual_hev_oryctolagus_cuniculus; caveat=rabbit HEV 3ra branch within genotype 3 and potential reservoir row kept review-needed; not generalized to lagomorphs."
Hepatitis E,Paslahepevirus balayani genotype 3,Paslahepevirus balayani genotype 3,Homo sapiens,9606,incidental_host,draft_source_backed,medium,host_role_evidence:source_check:manual_hev_homo_sapiens,Human genotype 3 or 4 zoonotic disease endpoint rather than reservoir role.,TRUE,"source_check_candidate_id=manual_hev_homo_sapiens; caveat=human row is genotype 3 zoonotic endpoint; HEV genotypes 1 and 2 human-only transmission is outside this genotype-3-heavy roster."
Influenza (H7N9 avian influenza),Alphainfluenzavirus influenzae (H7N9),Alphainfluenzavirus influenzae (H7N9),Gallus gallus,9031,amplifying_host,draft_source_backed,medium,host_role_evidence:source_check:manual_h7n9_gallus_gallus,Direct chicken source and shedding evidence in H7N9 poultry-market ecology.,TRUE,"source_check_candidate_id=manual_h7n9_gallus_gallus; caveat=domestic poultry and live-market amplification context; do not generalize to all galliforms without proxy review."
Influenza (H7N9 avian influenza),Alphainfluenzavirus influenzae (H7N9),Alphainfluenzavirus influenzae (H7N9),Coturnix japonica,93934,amplifying_host,draft_source_backed,medium,host_role_evidence:source_check:manual_h7n9_coturnix_japonica,Direct Japanese quail source and shedding evidence in H7N9 poultry-market ecology.,TRUE,"source_check_candidate_id=manual_h7n9_coturnix_japonica; caveat=experimental and poultry-market source context; strongest for Japanese quail and chickens rather than all poultry."
Influenza (H7N9 avian influenza),Alphainfluenzavirus influenzae (H7N9),Alphainfluenzavirus influenzae (H7N9),Homo sapiens,9606,incidental_host,draft_source_backed,high,host_role_evidence:source_check:manual_h7n9_homo_sapiens,Human spillover endpoint with rare limited but no sustained person-to-person transmission.,FALSE,"source_check_candidate_id=manual_h7n9_homo_sapiens; caveat=human row is an incidental zoonotic endpoint and not a reservoir or sustained-transmission host."
Ebola virus disease,Orthoebolavirus zairense,Orthoebolavirus zairense,Epomops franqueti,77231,reservoir_host,draft_source_backed,medium,host_role_evidence:source_check:manual_ebola_epomops_franqueti,Caveated species-level possible reservoir support from natural infection and antibody evidence.,TRUE,"source_check_candidate_id=manual_ebola_epomops_franqueti; caveat=possible reservoir species from bat field studies and synthesis; no broad Pteropodidae proxy; do not generalize to other fruit bats."
Ebola virus disease,Orthoebolavirus zairense,Orthoebolavirus zairense,Hypsignathus monstrosus,448084,reservoir_host,draft_source_backed,medium,host_role_evidence:source_check:manual_ebola_hypsignathus_monstrosus,Caveated species-level possible reservoir support from natural infection and antibody evidence.,TRUE,"source_check_candidate_id=manual_ebola_hypsignathus_monstrosus; caveat=possible reservoir species from bat field studies and synthesis; no broad Pteropodidae proxy; do not generalize to other fruit bats."
Ebola virus disease,Orthoebolavirus zairense,Orthoebolavirus zairense,Myonycteris torquata,77243,reservoir_host,draft_source_backed,medium,host_role_evidence:source_check:manual_ebola_myonycteris_torquata,Caveated species-level possible reservoir support from natural infection and antibody evidence.,TRUE,"source_check_candidate_id=manual_ebola_myonycteris_torquata; caveat=possible reservoir species from bat field studies and synthesis; no broad Pteropodidae proxy; do not generalize to other fruit bats."
